,Pais,Anio,Emisiones_de_CO2
330,Panamá,1998,13.049301762
331,Panamá,1999,14.069663458
332,Panamá,2000,13.090816349
333,Panamá,2001,13.111954771
334,Panamá,2002,13.058398007
335,Panamá,2003,13.02182957
336,Panamá,2004,13.03557884
337,Panamá,2005,14.02633974
338,Panamá,2006,14.017100639
339,Panamá,2007,14.012208956
340,Panamá,2008,14.008943835
341,Panamá,2009,15.089743119
342,Panamá,2010,16.117426654
343,Panamá,2011,19.13350749
344,Panamá,2012,20.641222589
345,Panamá,2013,22.254963207
346,Panamá,2014,21.896275494
347,Panamá,2015,22.365397062
348,Panamá,2016,23.052440017
349,Panamá,2017,24.554451595
350,Panamá,2018,26.670110313
351,Panamá,2019,26.79318633
352,Bolivia,1988,3.442793333
353,Bolivia,1989,3.908076667
354,Bolivia,1990,4.579473333
355,Bolivia,1991,4.8917
356,Bolivia,1992,4.779473333
357,Bolivia,1993,5.197813333
358,Bolivia,1994,4.992891168
359,Bolivia,1995,5.755007116
360,Bolivia,1996,6.787921242
361,Bolivia,1997,6.455985558
362,Bolivia,1998,7.123834197
363,Bolivia,1999,6.703551915
364,Bolivia,2000,8.0622599
365,Bolivia,2001,8.767200111
366,Bolivia,2002,7.705578224
367,Bolivia,2003,8.897322846
368,Bolivia,2004,11.186008921
369,Bolivia,2005,11.39020046
370,Bolivia,2006,11.231409602
371,Bolivia,2007,12.499241282
372,Bolivia,2008,11.087513081
373,Bolivia,2009,13.721463632
374,Bolivia,2010,12.741271491
375,Bolivia,2011,13.325875656
376,Bolivia,2012,13.247764437
377,Bolivia,2013,15.484720188
378,Bolivia,2014,15.806032418
379,Bolivia,2015,16.1814403
380,Bolivia,2016,15.937316567
381,Bolivia,2017,17.25413277
382,Bolivia,2018,18.092137786
383,Bolivia,2019,18.335565837
384,Ecuador,1988,13.131049967
385,Ecuador,1989,13.193126267
386,Ecuador,1990,12.193126267
387,Ecuador,1991,14.275894667
388,Ecuador,1992,14.222520456
389,Ecuador,1993,17.243580504
390,Ecuador,1994,15.243477043
391,Ecuador,1995,17.243477043
392,Ecuador,1996,17.292448347
393,Ecuador,1997,18.292296605
394,Ecuador,1998,18.243580504
395,Ecuador,1999,19.243580504
396,Ecuador,2000,18.246097522
397,Ecuador,2001,18.34393227
398,Ecuador,2002,19.39305512
399,Ecuador,2003,20.246516023
400,Ecuador,2004,20.369773209
401,Ecuador,2005,21.419323516
402,Ecuador,2006,22.641973635
403,Ecuador,2007,24.709095402
404,Ecuador,2008,24.076909232
405,Ecuador,2009,25.558637787
406,Ecuador,2010,28.639110565
407,Ecuador,2011,36.210170709
408,Ecuador,2012,35.736519347
409,Ecuador,2013,37.056250198
410,Ecuador,2014,38.459557542
411,Ecuador,2015,42.108566617
412,Ecuador,2016,38.799506427
413,Ecuador,2017,36.846046091
414,Ecuador,2018,34.741365749
415,Ecuador,2019,37.349371309
416,Jamaica,1988,5.2
417,Jamaica,1989,6.1
418,Jamaica,1990,7.041440326
419,Jamaica,1991,7.531337445
420,Jamaica,1992,7.828811725
421,Jamaica,1993,8.566697527
422,Jamaica,1994,8.638914606
423,Jamaica,1995,8.833863165
424,Jamaica,1996,9.938914606
425,Jamaica,1997,10.061646087
426,Jamaica,1998,10.169223247
427,Jamaica,1999,11.179326127
428,Jamaica,2000,11.181851847
429,Jamaica,2001,11.157857506
430,Jamaica,2002,11.133863165
431,Jamaica,2003,11.222263369
432,Jamaica,2004,11.214686209
433,Jamaica,2005,11.166697527
434,Jamaica,2006,11.149017486
435,Jamaica,2007,13.080823043
436,Jamaica,2008,13.290925924
437,Jamaica,2009,12.121234565
438,Jamaica,2010,9.328811725
439,Jamaica,2011,8.116183125
440,Jamaica,2012,8.534185784
441,Jamaica,2013,7.989962436
442,Jamaica,2014,8.810052361
443,Jamaica,2015,8.637067431
444,Jamaica,2016,8.539995644
445,Jamaica,2017,8.912641454
446,Jamaica,2018,7.747071984
447,Jamaica,2019,8.071670366
448,Uruguay,1988,4.0
449,Uruguay,1989,4.7
450,Uruguay,1990,4.9
451,Uruguay,1991,4.5
452,Uruguay,1992,4.2
453,Uruguay,1993,4.5
454,Uruguay,1994,4.9
455,Uruguay,1995,4.6
456,Uruguay,1996,4.7
457,Uruguay,1997,4.9
458,Uruguay,1998,5.2
