,Pais,Anio,Emisiones_de_CO2,Consumo_energia,Produccion_energia,PBI,Poblacion,Intencidad_per_capita,Intensidad_por_PBI,ISO,Región,Continente
39,Perú,1995,23.147096541,0.4728276298115373,0.4418724990218572,144.055,24299.2,19.45856776402257,3.2822715616364397,PER,América del Sur,América
40,Perú,1996,24.145541895,0.5054177107755887,0.4286359607962586,148.021,24753.8,20.417782755600705,3.4145000423966105,PER,América del Sur,América
41,Perú,1997,25.127879899,0.4838066450119633,0.3972355027456648,157.595,25211.0,19.19029967125316,3.0699365145592394,PER,América del Sur,América
42,Perú,1998,24.850681262,0.4997690828491476,0.4020839938497811,157.103,25658.1,19.47802381505831,3.181155565769894,PER,América del Sur,América
43,Perú,1999,25.277597637,0.5267134944052919,0.3899945703038552,159.439,26078.3,20.197386118163067,3.303542385522312,PER,América del Sur,América
44,Perú,2000,26.366250528,0.5418682664831002,0.3870752078855749,163.817,26459.9,20.478847859708477,3.3077657781738177,PER,América del Sur,América
45,Perú,2001,26.447421195,0.5331173448165089,0.3993341764775706,164.801,26799.3,19.892957831604136,3.2349157154174355,PER,América del Sur,América
46,Perú,2002,25.370979121,0.5393589402955306,0.4030794953793102,173.8,27101.0,19.901809538228505,3.1033310718960334,PER,América del Sur,América
47,Perú,2003,24.878399747,0.5403944549051942,0.399685874294572,181.022,27372.2,19.74245602856892,2.985241876154248,PER,América del Sur,América
48,Perú,2004,25.002378961,0.5919361454452583,0.4071290115672801,189.887,27624.2,21.4281733206847,3.117307374624162,PER,América del Sur,América
49,Perú,2005,28.38360476,0.6213417492336413,0.4720222870102258,201.687,27866.1,22.297406139848828,3.08072284893742,PER,América del Sur,América
50,Perú,2006,29.267248344,0.6427872837523322,0.5050546828429248,216.792,28102.1,22.87328291310373,2.964995404592108,PER,América del Sur,América
51,Perú,2007,32.793034384,0.6644424937764232,0.5391987390352451,235.188,28333.1,23.45110467179459,2.825154743339045,PER,América del Sur,América
52,Perú,2008,31.214041109,0.7715661289699605,0.5988269955412702,256.776,28562.3,27.01344530972508,3.004821825131479,PER,América del Sur,América
53,Perú,2009,35.580425998,0.7705799312773846,0.6335060626888515,259.745,28792.7,26.76303129881479,2.966678593533599,PER,América del Sur,América
54,Perú,2010,36.454249765,0.8644234130371644,0.8130641818222208,281.351,29027.7,29.779259570588245,3.072402134832165,PER,América del Sur,América
55,Perú,2011,42.507749872,0.9048489508713664,0.9961606590535824,299.215,29264.3,30.919890476497528,3.0240761688797906,PER,América del Sur,América
56,Perú,2012,44.412208586,0.9597099019199108,1.010996995764822,317.569,29506.8,32.52504175037316,3.022051591685305,PER,América del Sur,América
57,Perú,2013,46.757305388,0.9874629225056124,1.062372108076334,336.09,29774.0,33.16527582809204,2.9380907569568047,PER,América del Sur,América
58,Perú,2014,47.876195386,1.0062818042237476,1.1074439329895829,344.292,30090.4,33.44195504957553,2.9227568582010255,PER,América del Sur,América
59,Perú,2015,48.4727403,1.0466049422164352,1.0602593298319236,355.377,30470.7,34.347912657616504,2.945055369977334,PER,América del Sur,América
60,Perú,2016,49.882523732,1.0846614653746114,1.0939222741823156,369.449,30926.0,35.0728017000133,2.9358895689922324,PER,América del Sur,América
61,Perú,2017,53.033412729,1.0937353126498768,1.0977961290616984,378.671,31444.3,34.78326159748752,2.8883524554293216,PER,América del Sur,América
62,Perú,2018,51.037606187,1.1359035392231498,1.1107680729431273,393.702,31953.5,35.54864222145147,2.885186103253602,PER,América del Sur,América
63,Perú,2019,52.918496178,1.1855060965141535,1.1672519969393036,402.28,32462.7,36.51902326405855,2.9469675263849897,PER,América del Sur,América
64,Chile,1980,-1.0,0.4271842518519012,0.2707171918052423,81.1711,11362.0,37.5976282214312,5.262762878067456,CHL,América del Sur,América
65,Chile,1981,21.608615918,0.4215890119178454,0.2868999477785543,84.993,11524.55,36.581819847008816,4.960279222028232,CHL,América del Sur,América
66,Chile,1982,20.777298692,0.3764518097547803,0.2625722211754111,76.1943,11685.38,32.21562411789607,4.94068204255148,CHL,América del Sur,América
67,Chile,1983,16.687740254,0.3721480640613452,0.2574884353750195,73.3403,11848.45,31.409008272081604,5.074264273003318,CHL,América del Sur,América
68,Chile,1984,17.954715371,0.390295737784678,0.2659111479510332,79.2114,12017.92,32.476147102383614,4.927267259317194,CHL,América del Sur,América
69,Chile,1985,20.323000596,0.3878551219172767,0.2699224831136188,84.8467,12197.35,31.79831044589823,4.571245810588706,CHL,América del Sur,América
70,Chile,1986,19.4178375,0.3935591243221651,0.2565801558352306,89.5933,12387.7,31.770153000328165,4.392729415281781,CHL,América del Sur,América
71,Chile,1987,19.403419549,0.4089239206230973,0.2603249131240194,95.3867,12586.4,32.489347281438484,4.287011927481476,CHL,América del Sur,América
72,Chile,1988,19.939354349,0.4492372657859007,0.2552051874885424,102.332,12791.2,35.1208069442977,4.3899979066753385,CHL,América del Sur,América
73,Chile,1989,23.530224019,0.502872088681302,0.2556446579443221,113.401,12999.9,38.68276591983799,4.434459031942416,CHL,América del Sur,América
74,Chile,1990,28.623170396,0.568003226427628,0.2978224168732644,117.7008,13211.2,42.9940676416698,4.825822988693603,CHL,América del Sur,América
75,Chile,1991,30.368899694,0.5677626399810162,0.2895305267692694,126.917,13428.65,42.279949211649445,4.473495591457538,CHL,América del Sur,América
76,Chile,1992,28.879754552,0.6301016877899623,0.3216727660624017,142.2021,13652.55,46.152673880700846,4.431029413700377,CHL,América del Sur,América
77,Chile,1993,30.03139498,0.6711487936273856,0.3272277676421654,152.0376,13874.38,48.37324576863151,4.414360616238257,CHL,América del Sur,América
78,Chile,1994,32.739001079,0.7205033671089334,0.3253427514241051,160.6791,14092.9,51.125273514247134,4.484113783988916,CHL,América del Sur,América
79,Chile,1995,35.879767705,0.7885478922873276,0.3489048331444272,177.9239,14306.58,55.11784733229938,4.431939117158109,CHL,América del Sur,América
80,Chile,1996,39.092920312,0.8449861521426945,0.3324392530219258,189.3671,14514.58,58.21636948108002,4.462159224821496,CHL,América del Sur,América
81,Chile,1997,43.880968586,0.9346094819894843,0.3327074778883208,203.2917,14716.77,63.50642715687509,4.5973814080431445,CHL,América del Sur,América
82,Chile,1998,50.638338583,0.925308967731346,0.288119877198747,212.3576,14913.15,62.046513830501674,4.357315055977963,CHL,América del Sur,América
83,Chile,1999,51.488744946,0.9689729764810744,0.2241783370808598,211.2607,15104.15,64.152764404556,4.5866220100618555,CHL,América del Sur,América
84,Chile,2000,55.77806557,0.982954796266697,0.2782435791775148,222.5523,15289.98,64.28751353937004,4.41673618410907,CHL,América del Sur,América
85,Chile,2001,52.299004537,1.0193618775094833,0.3125248577539577,229.9196,15469.88,65.89332803547819,4.433557980744066,CHL,América del Sur,América
86,Chile,2002,51.555660643,1.069609312374601,0.3455097889705298,237.0527,15645.35,68.36595617065782,4.512116134406406,CHL,América del Sur,América
87,Chile,2003,53.722797528,1.10481833099345,0.3276039427744495,246.7816,15815.4,69.8571222348755,4.476907236979783,CHL,América del Sur,América
