Pais,Anio,Emisiones_de_CO2,Consumo_energia,Produccion_energia,PBI,Poblacion,Intencidad_per_capita,Intensidad_por_PBI
Ecuador,2015,42.108566617,0.69076286049653979,1.3424212075361537,179.31,16212.0,42.608121175458905,3.8523387457282903
Ecuador,2016,38.799506427,0.68310526933676363,1.3812741473547563,177.111,16491.1,41.422662486842214,3.8569330495382195
Ecuador,2017,36.846046091,0.69476657652642837,1.3774778711883475,181.306,16785.4,41.391124222623731,3.832010945729476
Ecuador,2018,34.741365749,0.72882204160758712,1.3464321511199373,183.643,17071.3,42.692826065243253,3.9686894769067549
Ecuador,2019,37.349371309,0.73878657220019728,1.4069200819758962,183.665,17357.2,42.563695308010352,4.0224679291111389
Jamaica,1988,5.2,0.0837842104,0.001899616,17.9489,2389.42,35.064664395543687,4.6679300904233685
Jamaica,1989,6.1,0.097437862481304177,0.002232448,19.1764,2403.46,40.540663244366115,5.0811342317277584
Jamaica,1990,7.041440326,0.10197329866121103,0.002153214,20.2231,2419.9,42.139468019840088,5.0424167739471706
Jamaica,1991,7.531337445,0.10643825320618774,0.001732376,20.3999,2439.33,43.63421644721614,5.2175870080827718
Jamaica,1992,7.828811725,0.11513024603153707,0.0020684,22.5073,2461.05,46.780945544193365,5.1152402123549727
Jamaica,1993,8.566697527,0.11686800302628089,0.002216435,22.9501,2484.58,47.037327446200521,5.092265525042631
Jamaica,1994,8.638914606,0.12050987361623432,0.002486156,23.1549,2509.04,48.030271983003189,5.2045084891851969
Jamaica,1995,8.833863165,0.13434435752628091,0.002248016,23.3932,2533.71,53.022783793836268,5.7428807314211348
Jamaica,1996,9.938914606,0.1384570791214905,0.00235752,23.4666,2558.63,54.113755846484445,5.9001763835191507
Jamaica,1997,10.061646087,0.14458986098656038,0.002440907,23.2356,2583.91,55.9577775489705,6.2227728565890423
Jamaica,1998,10.169223247,0.14784299780665353,0.002192355,22.9506,2608.87,56.669361756873094,6.441792275873115
Jamaica,1999,11.179326127,0.15140112076167681,0.002219042,23.1776,2632.68,57.5083643897765,6.5322173461306088
Jamaica,2000,11.181851847,0.14744347917931153,0.002213617,23.3378,2654.7,55.540542878408679,6.317796843717554
Jamaica,2001,11.157857506,0.14960116349660241,0.001487952,23.6367,2674.71,55.931732223905549,6.3291899248457861
Jamaica,2002,11.133863165,0.14893595880853544,0.0037323925,23.7962,2692.84,55.3081352061524,6.2588127015462733
Jamaica,2003,11.222263369,0.15521664351527756,0.004869662,24.6687,2709.44,57.287352189115666,6.2920479601794
Jamaica,2004,11.214686209,0.15184420245096286,0.004621332,24.9953,2725.02,55.722234130745044,6.07491018115257
Jamaica,2005,11.166697527,0.15657209694777025,0.005220853,25.2187,2740.0,57.143101075828554,6.2085712962115505
Jamaica,2006,11.149017486,0.17886288321509319,0.009301838,25.9498,2754.41,64.936913246427793,6.8926497782292424
